hour,mean,median,p90
0,3.9709082,2.6423094,9.906673
1,3.2239516,2.040969,8.426759
2,2.8321104,1.6322258,8.0328
3,2.406344,1.1915631,7.4305367
4,1.9020231,0.83463407,5.9581275
5,1.2668521,0.4131012,3.9231844
6,0.8251791,0.15773334,2.6318126
7,0.60016894,0.06999602,1.9599831
8,0.5581764,0.043192714,1.777678
9,0.50877887,0.013889953,1.6876764
10,0.48978138,0.002277311,1.6250259
11,0.48501152,0.0,1.637869
12,0.5361825,0.013952119,1.8480799
13,0.7309181,0.11645455,2.2390144
14,1.097971,0.26966667,3.2745416
15,1.9353087,0.70391923,6.111689
16,3.1440144,1.5921332,8.838665
17,4.169999,2.5955591,10.713786
18,4.644066,3.2108629,11.446733
19,4.632362,3.261507,11.498975
20,4.6686544,3.167399,11.48522
21,4.7549996,3.2744777,11.490513
22,4.7546306,3.4675333,11.515997
23,4.5862837,3.3762357,11.025481
