source_name,source_role,split,event_state,threshold_quantile,capacity_threshold,count,observed_risk_count,predicted_risk_count,true_positive,false_positive,false_negative,true_negative,precision,recall,missed_risk_rate,false_alarm_rate,specificity,balanced_accuracy,f1,observed_exceedance_area,captured_exceedance_area,severity_capture_rate,expected_shortage_mean,margin_mae,source_label,observed_risk_rate,predicted_risk_rate,panel,命中,漏报,误报
behavior_point,point_threshold_baseline,test,all,0.9,3.5037999153137207,11753940.0,32703.0,16927.0,10979.0,5948.0,21724.0,11715289.0,0.6486087316122172,0.3357184356175274,0.6642815643824725,0.0005074549725425,0.9994925450274574,0.6676054903224924,0.44243401168648,98228.97609186172,42109.26498389244,0.428684759418776,0.0008624795069205,0.0213853700784751,行为基线点预测,0.2782301083721714,0.14401128472665337,risk_rate,,,
behavior_point,point_threshold_baseline,test,event,0.9,3.5037999153137207,71400.0,8706.0,7506.0,4821.0,2685.0,3885.0,60009.0,0.6422861710631494,0.5537560303239145,0.4462439696760855,0.042827064790889,0.957172935209111,0.7554644827665127,0.5947446336047372,26512.22217106819,17414.237805128098,0.6568381063180593,0.0753767627561125,0.7945942092716892,行为基线点预测,12.193277310924369,10.512605042016807,risk_rate,,,
behavior_point,point_threshold_baseline,test,stable,0.9,3.5037999153137207,11682540.0,23997.0,9421.0,6158.0,3263.0,17839.0,11655280.0,0.6536461097548031,0.2566154102596157,0.7433845897403842,0.0002798805991451,0.9997201194008548,0.6281677648302353,0.3685438984978155,71716.75392079353,24695.027178764343,0.3443411173634321,0.0004070717082747,0.0166597615106126,行为基线点预测,0.2054090976791006,0.08064170976517093,risk_rate,,,
v6_point,event_deferral_v6_point_threshold,test,all,0.9,3.5037999153137207,11753940.0,32703.0,16927.0,10979.0,5948.0,21724.0,11715289.0,0.6486087316122172,0.3357184356175274,0.6642815643824725,0.0005074549725425,0.9994925450274574,0.6676054903224924,0.44243401168648,98228.97609186172,42109.26498389244,0.428684759418776,0.0008624795069205,0.0213853700784751,修正后点预测,0.2782301083721714,0.14401128472665337,risk_rate,,,
v6_point,event_deferral_v6_point_threshold,test,event,0.9,3.5037999153137207,71400.0,8706.0,7506.0,4821.0,2685.0,3885.0,60009.0,0.6422861710631494,0.5537560303239145,0.4462439696760855,0.042827064790889,0.957172935209111,0.7554644827665127,0.5947446336047372,26512.22217106819,17414.237805128098,0.6568381063180593,0.0753767627561125,0.7945942092716892,修正后点预测,12.193277310924369,10.512605042016807,risk_rate,,,
v6_point,event_deferral_v6_point_threshold,test,stable,0.9,3.5037999153137207,11682540.0,23997.0,9421.0,6158.0,3263.0,17839.0,11655280.0,0.6536461097548031,0.2566154102596157,0.7433845897403842,0.0002798805991451,0.9997201194008548,0.6281677648302353,0.3685438984978155,71716.75392079353,24695.027178764343,0.3443411173634321,0.0004070717082747,0.0166597615106126,修正后点预测,0.2054090976791006,0.08064170976517093,risk_rate,,,
v6_interval_upper95,event_deferral_v6_interval_upper_bound,test,all,0.9,3.5037999153137207,11753940.0,32703.0,52522.0,14112.0,38410.0,18591.0,11682827.0,0.2686874071817524,0.4315200440326575,0.5684799559673425,0.0032769578842233,0.9967230421157768,0.7141215430742172,0.331170431211499,98228.97609186172,49032.10771512985,0.4991613438918067,0.0059915454467747,0.0379261755209435,修正后区间上界,0.2782301083721714,0.44684590869104324,risk_rate,,,
v6_interval_upper95,event_deferral_v6_interval_upper_bound,test,event,0.9,3.5037999153137207,71400.0,8706.0,43100.0,7953.0,35147.0,753.0,27547.0,0.1845243619489559,0.9135079255685734,0.0864920744314265,0.5606118607841261,0.4393881392158739,0.6764480323922237,0.3070300737366328,26512.22217106819,24334.4716091156,0.9178586182666691,0.9197015316632292,3.497228764636567,修正后区间上界,12.193277310924369,60.364145658263304,risk_rate,,,
v6_interval_upper95,event_deferral_v6_interval_upper_bound,test,stable,0.9,3.5037999153137207,11682540.0,23997.0,9422.0,6159.0,3263.0,17838.0,11655280.0,0.6536828698790066,0.2566570821352669,0.743342917864733,0.0002798805991451,0.9997201194008548,0.6281886007680608,0.3685927167180347,71716.75392079353,24697.63610601425,0.3443774955750392,0.0004072381800455,0.0167840091031221,修正后区间上界,0.2054090976791006,0.08065026954754702,risk_rate,,,
,,,事件窗口,,,,,,,,,,,,,,,,,,,,,,,,,case_type,200.0,39.0,168.0
,,,稳定窗口,,,,,,,,,,,,,,,,,,,,,,,,,case_type,0.0,161.0,32.0
