feature,sentinel_abs_weight,sentinel_weight,weight_for_expert__event_graph_dynamic_v5,weight_for_expert__historical_event_dual_graph_v5,weight_for_expert__historical_correlation_graph_v5,weight_for_expert__event_dtw_fusion_graph_v5,mean_expert_abs_weight,max_abs_weight,feature_label,family,panel,total_abs_weight,mean_branch_weight
hour_cos,0.1090912255397578,0.1090912255397578,0.0005003973397414,0.2266839845222528,0.1421475516848359,0.1418319509827406,0.1277909711323926,0.1277909711323926,小时余弦项,其他辅助特征,feature_top,,
abs_prediction_delta_vs_stable__event_dtw_fusion_graph_v5,0.117097003383031,0.117097003383031,-0.1539194374279482,-0.0474136760529144,0.0015613427740858,0.1122006265606443,0.0787737707038982,0.117097003383031,融合图分支与基线差异,分支差异特征,feature_top,,
abs_prediction_delta_vs_stable__historical_event_dual_graph_v5,0.1223342143866013,0.1223342143866013,0.0208211252479917,0.4477619686393591,-0.0720192720902938,-0.2358848474038857,0.1941218033453826,0.1941218033453826,历史事件图分支与基线差异,分支差异特征,feature_top,,
prediction_behavior_concat_v5,0.170358709749599,0.170358709749599,-0.0437039253438041,-0.2063182990675807,-0.1216938746163336,-0.0787337776905954,0.1126124691795784,0.170358709749599,行为分支预测值,其他辅助特征,feature_top,,
prediction_mean,0.1730613418265904,0.1730613418265904,-0.0534280845267476,-0.2316985385107959,-0.1231398124062878,-0.0918651998673233,0.1250329088277887,0.1730613418265904,候选预测均值,其他辅助特征,feature_top,,
node_code,0.1738567951100868,-0.1738567951100868,-0.1898795561010451,-0.2310568232066971,-0.2460328243923024,-0.1753723238395373,0.2105853818848955,0.2105853818848955,站点编码,其他辅助特征,feature_top,,
event_window_access,0.5908151631130749,0.5908151631130749,0.2323488962665104,0.263170533506513,0.2084864289840795,0.2852308706517181,0.2473091823522052,0.5908151631130749,接入事件窗口,事件状态特征,feature_top,,
event_window_load_jump,0.7081595561195816,0.7081595561195816,0.2897723543031518,0.2016908195895111,0.1602915879533219,0.2913974310273435,0.2357880482183321,0.7081595561195816,负荷跳变窗口,事件状态特征,feature_top,,
event_window_departure,0.7638532857183508,0.7638532857183508,0.3976373376194175,0.203218625524094,0.3451013458512004,0.291419324598289,0.3093441583982502,0.7638532857183508,离站事件窗口,事件状态特征,feature_top,,
event_window_any,1.304379429781456,1.304379429781456,1.154390484874485,1.3680862894059225,1.3112147863867885,1.2896656179446575,1.2808392946529634,1.304379429781456,任一事件窗口,事件状态特征,feature_top,,
,,,,,,,,,,事件状态特征,family,3.367207434732463,0.5183201709054377
,,,,,,,,,,其他辅助特征,family,0.8536546152742338,0.08672340819107408
,,,,,,,,,,分支差异特征,family,0.6625108392150261,0.11653396462004413
